Date,Time,kW,kVAr,kVA,scalar_kVA,status
 2021-01-04, 22:30:00,1015.68,179.1,1031.349927,1054.330198, Ok
 2021-01-04, 23:00:00,1052.12,180.54,1067.497628,1093.109203, Ok
 2021-01-04, 23:30:00,987,167.58,1001.125395,1023.412619, Ok
 2021-01-05, 00:00:00,1011.94,176.36,1027.192978,1051.579196, Ok
 2021-01-05, 00:30:00,1014.1,163.96,1027.269045,1047.104778, Ok
 2021-01-05, 01:00:00,1025.66,164.9,1038.831288,1058.354339, Ok
 2021-01-05, 01:30:00,999.82,161.96,1012.852938,1030.869494, Ok
 2021-01-05, 02:00:00,1021.14,186.4,1038.01342,1064.201253, Ok
 2021-01-05, 02:30:00,991.94,199.14,1011.732031,1035.493268, Ok
 2021-01-05, 03:00:00,1014.24,183.9,1030.777371,1055.976281, Ok
 2021-01-05, 03:30:00,1051.88,183.24,1067.72114,1093.323618, Ok
 2021-01-05, 04:00:00,1045.74,170.32,1059.519254,1082.11235, Ok
 2021-01-05, 04:30:00,1013.34,204.72,1033.812475,1056.142041, Ok
 2021-01-05, 05:00:00,1035.1,155.92,1046.777463,1064.789107, Ok
 2021-01-05, 05:30:00,994.66,158.96,1007.281886,1026.079195, Ok
 2021-01-05, 06:00:00,962.4,167.76,976.9120624,997.635532, Ok
 2021-01-05, 06:30:00,853.04,206.52,877.6831729,896.0306625, Ok
 2021-01-05, 07:00:00,1039.2,196.3,1057.577576,1070.267238, Ok
 2021-01-05, 07:30:00,1174.3,254.52,1201.566028,1221.334826, Ok
 2021-01-05, 08:00:00,1631.02,252.04,1650.378866,1671.47313, Ok
 2021-01-05, 08:30:00,2947.3,535.54,2995.560111,3025.251707, Ok
 2021-01-05, 09:00:00,3422.84,397.44,3445.83694,3484.460725, Ok
 2021-01-05, 09:30:00,3327.2,467.96,3359.947381,3395.241789, Ok
 2021-01-05, 10:00:00,3689.92,581.46,3735.452494,3806.17934, Ok
 2021-01-05, 10:30:00,3655.14,652.48,3712.920491,3783.172551, Ok
 2021-01-05, 11:00:00,3764.32,666.52,3822.872477,3898.838702, Ok
 2021-01-05, 11:30:00,3626.66,584.56,3673.468817,3743.084383, Ok
 2021-01-05, 12:00:00,3466.42,565.82,3512.29553,3573.499708, Ok
 2021-01-05, 12:30:00,3859.66,545.78,3898.057353,3963.160497, Ok
 2021-01-05, 13:00:00,3611.66,508.6,3647.295151,3705.436526, Ok
 2021-01-05, 13:30:00,3447.66,502.76,3484.125011,3540.665199, Ok
 2021-01-05, 14:00:00,3426.72,518.74,3465.761265,3524.545325, Ok
 2021-01-05, 14:30:00,3473.48,491.98,3508.148747,3572.940546, Ok
 2021-01-05, 15:00:00,3517.4,485.9,3550.802947,3610.878737, Ok
 2021-01-05, 15:30:00,3539.84,508.94,3576.239247,3642.398231, Ok
 2021-01-05, 16:00:00,3534.5,495.42,3569.051867,3630.78968, Ok
 2021-01-05, 16:30:00,3294.96,476.68,3329.261964,3388.196517, Ok
 2021-01-05, 17:00:00,3244.32,458.22,3276.519164,3337.070428, Ok
 2021-01-05, 17:30:00,2869.98,358.1,2892.23457,2930.917975, Ok
 2021-01-05, 18:00:00,2656.04,300.4,2672.973745,2706.422458, Ok
 2021-01-05, 18:30:00,1534.2,183.52,1545.137285,1568.036788, Ok
 2021-01-05, 19:00:00,1160.24,171.24,1172.808593,1195.203261, Ok
 2021-01-05, 19:30:00,1124.48,177,1138.325204,1163.372248, Ok
 2021-01-05, 20:00:00,1078.66,188.1,1094.9379,1117.210549, Ok
 2021-01-05, 20:30:00,1024.02,162.92,1036.899169,1055.464781, Ok
 2021-01-05, 21:00:00,1021.04,169.76,1035.056104,1055.750947, Ok
 2021-01-05, 21:30:00,981.04,145.1,991.7124037,1008.720029, Ok
 2021-01-05, 22:00:00,979.78,164.02,993.4140168,1015.127997, Ok
 2021-01-05, 22:30:00,986.46,173.42,1001.587654,1027.471763, Ok
 2021-01-05, 23:00:00,963.76,156.7,976.4160115,999.6949124, Ok
 2021-01-05, 23:30:00,952.34,163.14,966.212262,988.5662229, Ok
 2021-01-06, 00:00:00,958.2,166.58,972.5719184,994.32213, Ok
 2021-01-06, 00:30:00,948.7,148.08,960.187157,979.0763012, Ok
 2021-01-06, 01:00:00,962.26,137.82,972.0795544,988.113047, Ok
 2021-01-06, 01:30:00,950.72,133.5,960.047274,975.3905974, Ok
 2021-01-06, 02:00:00,952.38,168.42,967.1571541,989.6912445, Ok
 2021-01-06, 02:30:00,943.98,169.4,959.0592267,981.1784846, Ok
 2021-01-06, 03:00:00,948.64,155.32,961.2711126,984.2643197, Ok
 2021-01-06, 03:30:00,945.98,162.86,959.8966299,982.8757973, Ok
 2021-01-06, 04:00:00,941.98,176.18,958.3139949,980.1800126, Ok
 2021-01-06, 04:30:00,944.5,156.96,957.4532321,976.0215653, Ok
 2021-01-06, 05:00:00,943.28,154.28,955.8135157,975.4355579, Ok
 2021-01-06, 05:30:00,899.86,132.18,909.5161197,925.8691871, Ok
 2021-01-06, 06:00:00,888.56,168.24,904.3470414,925.0798444, Ok
 2021-01-06, 06:30:00,917.9,183.44,936.0505561,955.7702986, Ok
 2021-01-06, 07:00:00,894.86,196.66,916.2148084,936.1798588, Ok
 2021-01-06, 07:30:00,1084.48,241.84,1111.118111,1133.965611, Ok
 2021-01-06, 08:00:00,1347.28,247.52,1369.828292,1392.021055, Ok
 2021-01-06, 08:30:00,2102.84,434.5,2147.260188,2171.233111, Ok
 2021-01-06, 09:00:00,2590.06,405.34,2621.58565,2647.656138, Ok
 2021-01-06, 09:30:00,3052.2,512.46,3094.921662,3143.748209, Ok
 2021-01-06, 10:00:00,3337.52,566.58,3385.269952,3453.786775, Ok
 2021-01-06, 10:30:00,3195.32,523.76,3237.961464,3298.999141, Ok
 2021-01-06, 11:00:00,3422.72,586.24,3472.562388,3542.444682, Ok
 2021-01-06, 11:30:00,3461.2,595.82,3512.108613,3586.821299, Ok
 2021-01-06, 12:00:00,3257.34,579.96,3308.567285,3381.930486, Ok
 2021-01-06, 12:30:00,3357.56,518.58,3397.371686,3455.588642, Ok
 2021-01-06, 13:00:00,3455.8,497.94,3491.48935,3551.242957, Ok
 2021-01-06, 13:30:00,3291.28,503.06,3329.503477,3381.150256, Ok
 2021-01-06, 14:00:00,3310.74,506.94,3349.326426,3410.179641, Ok
 2021-01-06, 14:30:00,3213.76,506.52,3253.431396,3309.585635, Ok
 2021-01-06, 15:00:00,3284.92,551.36,3330.870345,3403.881877, Ok
 2021-01-06, 15:30:00,3358.62,576.84,3407.79587,3485.722774, Ok
 2021-01-06, 16:00:00,3415.8,508.7,3453.47149,3517.673208, Ok
 2021-01-06, 16:30:00,3307.54,476.98,3341.755642,3406.782912, Ok
 2021-01-06, 17:00:00,3308.08,494.94,3344.900431,3404.442715, Ok
 2021-01-06, 17:30:00,3139.42,398.46,3164.605553,3209.111703, Ok
 2021-01-06, 18:00:00,2738.9,329.1,2758.601098,2790.58206, Ok
 2021-01-06, 18:30:00,1482.52,249.22,1503.321708,1529.066931, Ok
 2021-01-06, 19:00:00,1134.28,201.86,1152.101809,1177.840448, Ok
 2021-01-06, 19:30:00,1135.3,190.92,1151.241302,1177.586208, Ok
 2021-01-06, 20:00:00,1134.7,192.06,1150.839317,1178.851178, Ok
 2021-01-06, 20:30:00,1092.6,172.32,1106.105303,1129.065891, Ok
 2021-01-06, 21:00:00,1036.56,172.14,1050.756305,1071.435088, Ok
 2021-01-06, 21:30:00,995.3,154.82,1007.26924,1024.43172, Ok
 2021-01-06, 22:00:00,1012.36,164.46,1025.631445,1048.580411, Ok
 2021-01-06, 22:30:00,1031,169.24,1044.798152,1069.819002, Ok
 2021-01-06, 23:00:00,1002.76,161.88,1015.742463,1040.506787, Ok
 2021-01-06, 23:30:00,963.3,172.16,978.5632098,1002.148535, Ok
 2021-01-07, 00:00:00,958.18,173.06,973.683047,995.9034673, Ok
 2021-01-07, 00:30:00,972.78,146.3,983.7197865,1003.620911, Ok
 2021-01-07, 01:00:00,969.26,133.88,978.4624684,995.3106661, Ok
 2021-01-07, 01:30:00,935.98,137.14,945.9735409,962.8622723, Ok
 2021-01-07, 02:00:00,947.18,156.94,960.0938058,983.1239748, Ok
 2021-01-07, 02:30:00,938.34,152.96,950.7253637,973.3295908, Ok
 2021-01-07, 03:00:00,921.98,156.7,935.2015881,958.5549109, Ok
 2021-01-07, 03:30:00,925.72,148.32,937.5267147,960.5091724, Ok
 2021-01-07, 04:00:00,927.02,145.18,938.3194087,958.9684965, Ok
 2021-01-07, 04:30:00,326.5,34.4,328.3071885,330.853148, Ok
 2021-01-07, 05:00:00,326.28,31.98,327.8434974,330.1201953, Ok
 2021-01-07, 05:30:00,326.5,34.4,328.3071885,330.853148, Ok
 2021-01-07, 06:00:00,941.54,78.46,944.8034416,951.7850665, Ok
 2021-01-07, 06:30:00,850.92,127.1,860.3599575,867.5487344, Ok
 2021-01-07, 07:00:00,900.52,130.32,909.9008588,915.3909084, Ok
 2021-01-07, 07:30:00,1023.5,181.3,1039.433471,1057.004603, Ok
 2021-01-07, 08:00:00,1215.96,202.66,1232.732654,1252.029614, Ok
 2021-01-07, 08:30:00,2039.1,341.28,2067.462418,2090.064012, Ok
 2021-01-07, 09:00:00,2733.06,372.56,2758.336078,2784.789524, Ok
 2021-01-07, 09:30:00,2914.32,402.84,2942.030103,2978.028999, Ok
 2021-01-07, 10:00:00,2919.42,424.6,2950.135301,2989.062503, Ok
 2021-01-07, 10:30:00,3141.7,525.94,3185.418618,3241.254123, Ok
 2021-01-07, 11:00:00,3372.18,505.58,3409.869365,3467.107276, Ok
 2021-01-07, 11:30:00,3455.2,518.62,3493.905228,3549.144346, Ok
 2021-01-07, 12:00:00,3551.02,495.6,3585.437547,3642.446967, Ok
 2021-01-07, 12:30:00,3566.08,471.52,3597.117968,3645.019212, Ok
 2021-01-07, 13:00:00,3555.18,444.52,3582.862384,3630.119169, Ok
 2021-01-07, 13:30:00,3643.32,456.12,3671.760624,3712.569606, Ok
 2021-01-07, 14:00:00,3724.68,543.84,3764.173621,3827.663856, Ok
 2021-01-07, 14:30:00,3647.26,574.96,3692.300707,3754.57866, Ok
 2021-01-07, 15:00:00,3614.7,505.48,3649.872069,3703.564281, Ok
 2021-01-07, 15:30:00,3548.14,489.46,3581.740994,3631.202504, Ok
 2021-01-07, 16:00:00,3540.22,450.34,3568.748207,3617.707511, Ok
 2021-01-07, 16:30:00,3679.06,498.52,3712.681601,3768.626003, Ok
 2021-01-07, 17:00:00,3708.1,532.1,3746.082757,3812.647371, Ok
 2021-01-07, 17:30:00,3662.74,371.46,3681.527786,3712.857276, Ok
 2021-01-07, 18:00:00,3356.84,307.6,3370.903817,3398.758793, Ok
 2021-01-07, 18:30:00,1569.1,241.12,1587.518083,1603.265841, Ok
 2021-01-07, 19:00:00,1257.1,170.56,1268.6178,1279.599883, Ok
 2021-01-07, 19:30:00,1239.88,168.66,1251.298769,1262.984931, Ok
 2021-01-07, 20:00:00,1181.3,151.54,1190.980294,1203.072911, Ok
 2021-01-07, 20:30:00,1138.96,136.6,1147.122244,1159.363009, Ok
 2021-01-07, 21:00:00,1100.8,139.7,1109.629096,1122.235443, Ok
 2021-01-07, 21:30:00,1089.54,112.74,1095.357348,1104.189621, Ok
 2021-01-07, 22:00:00,1052,128.68,1059.84081,1071.16353, Ok
 2021-01-07, 22:30:00,1065.88,145.26,1075.732607,1089.209015, Ok
 2021-01-07, 23:00:00,1047.64,133.92,1056.164824,1068.59776, Ok
 2021-01-07, 23:30:00,1014.42,142.02,1024.313242,1037.351534, Ok
 2021-01-08, 00:00:00,1007,127.8,1015.077258,1027.392983, Ok
 2021-01-08, 00:30:00,1038.26,142.48,1047.990638,1060.029953, Ok
 2021-01-08, 01:00:00,1019.44,151.84,1030.685839,1042.42355, Ok
 2021-01-08, 01:30:00,1036.28,105.22,1041.608125,1050.445864, Ok
 2021-01-08, 02:00:00,1018.02,146.16,1028.458782,1040.61011, Ok
 2021-01-08, 02:30:00,1015,152.44,1026.383434,1039.657804, Ok
 2021-01-08, 03:00:00,1012.5,132.2,1021.094065,1035.175991, Ok
 2021-01-08, 03:30:00,1050.98,173.9,1065.269999,1077.926451, Ok
 2021-01-08, 04:00:00,1052.3,168.86,1065.762164,1078.922319, Ok
 2021-01-08, 04:30:00,355.36,42.6,357.9043023,361.4514578, Ok
 2021-01-08, 05:00:00,356.04,45.04,358.8775323,362.6691477, Ok
